,TEAM,POS,PLAYER,GP,G,A,PTS,+/-,PIM,ATOI,PPG,PPA,SHG,SHA,SOG,SPCT
667,nyr, C ,J.T. Miller,50,15,12,27,11,25,14:10,2,0,0,0,81,18.5
668,nyr, D ,Ryan McDonagh,50,6,18,24,10,16,23:04,2,7,0,0,89,6.7
669,nyr, LW,Chris Kreider,47,9,14,23,1,41,16:04,1,2,0,0,99,9.1
670,nyr, RW,Kevin Hayes,48,7,15,22,1,16,13:55,2,2,0,0,86,8.1
671,nyr, C ,Oscar Lindberg,47,11,10,21,8,30,12:32,1,2,0,0,90,12.2
672,nyr, C ,Derek Stepan,40,9,12,21,5,14,17:32,1,3,1,0,96,9.4
673,nyr, RW,Jesper Fast,48,7,11,18,7,8,14:26,0,0,0,0,41,17.1
674,nyr, D ,Dan Boyle,43,5,10,15,5,26,19:21,2,7,0,0,59,8.5
675,nyr, LW,Viktor Stalberg,44,7,7,14,10,8,11:36,0,0,0,0,67,10.4
676,nyr, D ,Marc Staal,50,2,10,12,0,18,19:25,0,0,0,0,45,4.4
677,nyr, D ,Dan Girardi,44,2,9,11,8,12,19:58,0,0,0,1,43,4.7
678,nyr, C ,Dominic Moore,48,4,6,10,0,14,14:15,0,0,0,0,65,6.2
679,nyr, D ,Kevin Klein,38,3,7,10,14,13,20:01,0,1,0,0,36,8.3
680,nyr, C ,Jarret Stoll,29,1,2,3,3,20,13:47,0,0,0,0,26,3.8
681,nyr, RW,Emerson Etem,19,0,3,3,-4,2,11:05,0,0,0,0,23,0.0
682,nyr, D ,Dylan McIlrath,20,2,1,3,5,42,15:23,0,0,0,0,21,9.5
683,nyr, RW,Jayson Megna,5,1,1,2,0,2,12:51,0,0,0,0,7,14.3
684,nyr, LW,Tanner Glass,27,1,1,2,-6,27,10:17,0,0,0,0,22,4.5
685,nyr, D ,Chris Summers,3,0,0,0,-2,4,15:23,0,0,0,0,5,0.0
686,phi, C ,Claude Giroux,48,14,26,40,-5,39,20:41,5,11,1,1,136,10.3
687,phi, RW,Jakub Voracek,48,8,31,39,0,20,18:47,1,16,0,0,143,5.6
688,phi, RW,Wayne Simmonds,48,16,15,31,-7,88,17:07,7,5,0,0,122,13.1
689,phi, C ,Brayden Schenn,46,13,15,28,-2,25,16:09,7,5,0,0,97,13.4
690,phi, C ,Sean Couturier,39,9,14,23,9,14,18:18,0,2,0,1,75,12.0
691,phi, D ,Shayne Gostisbehere,30,8,15,23,5,10,18:26,4,9,0,0,68,11.8
692,phi, RW,Matt Read,47,8,9,17,-5,18,16:10,1,1,0,0,89,9.0
693,phi, C ,Scott Laughton,48,4,8,12,-7,25,10:17,0,0,0,0,56,7.1
694,phi, LW,Michael Raffl,48,6,6,12,4,18,14:28,1,0,0,0,78,7.7
695,phi, D ,Michael Del Zotto,46,3,9,12,-8,14,23:43,0,1,0,0,91,3.3
696,phi, D ,Mark Streit,29,4,7,11,-3,6,21:29,1,3,0,0,48,8.3
697,phi, D ,Evgeny Medvedev,34,3,6,9,6,28,19:14,0,2,0,0,59,5.1
698,phi, C ,Ryan White,39,5,3,8,-4,70,12:39,0,0,0,0,42,11.9
699,phi, C ,Chris VandeVelde,48,2,6,8,-4,17,13:54,0,0,1,0,52,3.8
700,phi, LW,R.J. Umberger,32,0,6,6,-1,15,9:50,0,1,0,0,40,0.0
701,phi, C ,Sam Gagner,21,2,3,5,-2,21,12:08,1,0,0,0,30,6.7
702,phi, D ,Nick Schultz,47,0,5,5,-4,22,17:33,0,0,0,0,35,0.0
703,phi, D ,Luke Schenn,29,2,3,5,-7,30,17:35,0,0,0,0,19,10.5
704,phi, RW,Pierre-Edouard Bellemare,40,3,2,5,-6,19,13:56,0,0,1,1,55,5.5
705,phi, D ,Brandon Manning,31,0,3,3,4,35,16:40,0,0,0,0,39,0.0
706,phi, D ,Radko Gudas,42,0,3,3,-2,47,20:41,0,0,0,0,77,0.0
707,phi, C ,Vincent Lecavalier,7,0,1,1,-1,2,9:28,0,0,0,0,7,0.0
708,phi, RW,Colin McDonald,5,1,0,1,0,7,8:09,0,0,0,0,4,25.0
709,phi, D ,Andrew MacDonald,1,0,0,0,0,0,19:29,0,0,0,0,0,0.0
710,phi, C ,Jordan Weal,1,0,0,0,0,0,9:51,0,0,0,0,0,0.0
711,pit, C ,Evgeni Malkin,49,23,26,49,-3,57,19:35,10,13,0,0,140,16.4
712,pit, C ,Sidney Crosby,48,20,25,45,-3,26,19:58,9,9,0,0,149,13.4
713,pit, D ,Kris Letang,39,7,28,35,-12,34,26:14,1,17,0,1,117,6.0
714,pit, RW,Phil Kessel,49,15,17,32,1,6,18:55,3,7,0,0,154,9.7
715,pit, RW,Patric Hornqvist,49,10,17,27,-2,20,16:24,4,6,0,0,158,6.3
716,pit, LW,Chris Kunitz,47,9,12,21,16,24,16:31,2,3,0,0,92,9.8
717,pit, LW,David Perron,43,4,12,16,-13,28,15:28,1,4,0,0,96,4.2
718,pit, C ,Matt Cullen,49,5,9,14,4,14,12:45,0,0,1,1,58,8.6
719,pit, D ,Olli Maatta,43,5,9,14,16,12,19:02,0,1,0,1,53,9.4
720,pit, D ,Brian Dumoulin,49,0,11,11,4,8,18:42,0,0,0,0,59,0.0
