,TEAM,NAME,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,FUML,YAC,1DN
431,hou,Chris Polk,16,28,109,6.8,1,12,0,7.3,0,0,65,5
432,hou,Akeem Hunt,6,10,39,6.5,0,27,1,5.6,0,0,21,2
433,hou,Garrett Graham,4,19,30,7.5,1,9,0,3.8,0,0,9,1
434,hou,Chandler Worthy,3,4,14,4.7,0,12,0,4.7,0,0,24,1
435,hou,Kendall Lamm,1,1,7,7.0,0,7,0,0.5,0,0,5,1
436,ind,T.Y. Hilton,69,135,1124,16.3,5,87,17,70.3,1,0,376,49
437,ind,Donte Moncrief,64,105,733,11.5,6,33,9,45.8,0,0,269,40
438,ind,Andre Johnson,41,77,503,12.3,4,35,7,31.4,0,0,154,31
439,ind,Coby Fleener,54,85,491,9.1,3,57,4,30.7,0,0,147,23
440,ind,Frank Gore,34,58,267,7.9,1,34,2,16.7,0,0,287,10
441,ind,Phillip Dorsett,18,39,225,12.5,1,35,4,20.5,0,0,52,10
442,ind,Griff Whalen,19,26,205,10.8,1,38,1,14.6,1,1,54,11
443,ind,Dwayne Allen,16,29,109,6.8,1,21,1,8.4,0,0,60,4
444,ind,Jack Doyle,12,14,72,6.0,1,19,0,4.5,0,0,55,6
445,ind,Ahmad Bradshaw,10,13,64,6.4,3,10,0,10.7,0,0,55,5
446,ind,Zurlon Tipton,5,8,57,11.4,0,27,1,5.7,0,0,42,2
447,ind,Josh Robinson,6,6,33,5.5,0,9,0,6.6,0,0,38,2
448,ind,Daniel Herron,6,7,27,4.5,0,7,0,4.5,0,0,24,1
449,ind,Tyler Varga,1,2,18,18.0,0,18,0,6.0,0,0,19,1
450,jax,Allen Robinson,80,153,1400,17.5,14,90,31,87.5,0,0,341,61
451,jax,Allen Hurns,64,104,1031,16.1,10,80,19,68.7,2,1,343,48
452,jax,Julius Thomas,46,79,455,9.9,5,34,5,37.9,0,0,137,25
453,jax,Bryan Walters,32,46,368,11.5,1,31,6,33.5,0,0,124,20
454,jax,T.J. Yeldon,36,46,279,7.8,1,67,3,23.3,0,0,297,14
455,jax,Marcedes Lewis,16,37,226,14.1,0,45,4,14.1,0,0,110,8
456,jax,Marqise Lee,15,32,191,12.7,1,30,2,19.1,0,0,88,11
457,jax,Denard Robinson,21,30,164,7.8,0,16,0,12.6,0,0,156,8
458,jax,Clay Harbor,14,19,149,10.6,1,26,2,9.9,0,0,51,9
459,jax,Rashad Greene,19,35,93,4.9,2,18,0,10.3,0,0,54,8
460,jax,Toby Gerhart,3,5,23,7.7,0,8,0,3.3,0,0,24,1
461,jax,Tyson Alualu,2,3,19,9.5,0,16,0,1.2,0,0,7,2
462,jax,Corey Grant,2,3,13,6.5,0,8,0,2.2,0,0,17,0
463,jax,Bernard Pierce,3,5,7,2.3,0,6,0,1.0,0,0,2,0
464,jax,Nic Jacobs,1,2,6,6.0,0,6,0,0.5,0,0,5,0
465,jax,Jonas Gray,1,1,4,4.0,0,4,0,2.0,0,0,0,0
466,ten,Delanie Walker,94,133,1088,11.6,6,61,13,72.5,0,0,355,52
467,ten,Dorial Green-Beckham,32,66,549,17.2,4,47,10,34.3,0,0,149,30
468,ten,Harry Douglas,36,71,411,11.4,2,51,4,29.4,0,0,131,22
469,ten,Kendall Wright,36,61,408,11.3,3,52,4,40.8,0,0,160,21
470,ten,Anthony Fasano,26,42,289,11.1,2,33,3,18.1,0,0,146,16
471,ten,Justin Hunter,22,31,264,12.0,1,29,4,29.3,0,0,36,12
472,ten,Dexter McCluster,31,41,260,8.4,1,35,3,23.6,1,1,213,12
473,ten,Antonio Andrews,21,29,174,8.3,0,23,2,12.4,0,0,169,8
474,ten,Bishop Sankey,14,22,139,9.9,1,30,2,10.7,0,0,149,8
475,ten,Craig Stevens,12,15,121,10.1,2,27,3,7.6,0,0,41,5
476,ten,Jalston Fowler,5,6,44,8.8,1,19,0,2.8,0,0,42,3
477,ten,Chase Coffman,4,5,42,10.5,0,16,0,42.0,0,0,6,2
478,ten,Marcus Mariota,1,1,41,41.0,1,41,1,3.4,0,0,15,1
479,ten,Phillip Supernaw,3,4,32,10.7,0,16,0,2.0,1,1,14,1
480,ten,Andrew Turzilli,2,2,25,12.5,0,18,0,8.3,0,0,8,1
481,ten,Tre McBride,2,4,8,4.0,1,7,0,1.1,0,0,0,1
482,ten,David Cobb,1,2,-2,-2.0,0,-2,0,-0.3,0,0,3,0
